nome,logradouro,numero,cep,bairro,microbairro,latitude,longitude
Conjunto Dream,Avenida das Américas,3400,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Vila Dream,Avenida Ayrton Senna,3410,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Dream,Avenida Embaixador Abelardo Bueno,3420,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Oasis Dream,Rua Mário Covas Júnior,3430,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Dream,Avenida Heitor Doyle Maia,3440,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Dream,Rua Paulo Moura,3450,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Dream,Avenida Jornalista Tim Lopes,3460,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Dream,Avenida Lúcio Costa,3470,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Platinum Dream,Avenida das Américas,3480,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Torre Star,Avenida Ayrton Senna,3490,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Star,Avenida Embaixador Abelardo Bueno,3500,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Edifício Star,Rua Mário Covas Júnior,3510,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Star,Avenida Heitor Doyle Maia,3520,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Star,Rua Paulo Moura,3530,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Star,Avenida Jornalista Tim Lopes,3540,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Star,Avenida Lúcio Costa,3550,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Vila Star,Avenida das Américas,3560,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Parque Star,Avenida Ayrton Senna,3570,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Star,Avenida Embaixador Abelardo Bueno,3580,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Templo Star,Rua Mário Covas Júnior,3590,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Star,Avenida Heitor Doyle Maia,3600,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Star,Rua Paulo Moura,3610,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Star,Avenida Jornalista Tim Lopes,3620,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Star,Avenida Lúcio Costa,3630,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Torre Barra 1,Avenida das Américas,3640,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Residencial Barra 1,Avenida Ayrton Senna,3650,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Barra 1,Avenida Embaixador Abelardo Bueno,3660,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Condomínio Barra 1,Rua Mário Covas Júnior,3670,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Barra 1,Avenida Heitor Doyle Maia,3680,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Barra 1,Rua Paulo Moura,3690,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Barra 1,Avenida Jornalista Tim Lopes,3700,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Barra 1,Avenida Lúcio Costa,3710,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Parque Barra 1,Avenida das Américas,3720,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Oasis Barra 1,Avenida Ayrton Senna,3730,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Barra 1,Avenida Embaixador Abelardo Bueno,3740,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Imperial Barra 1,Rua Mário Covas Júnior,3750,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Barra 1,Avenida Heitor Doyle Maia,3760,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Barra 1,Rua Paulo Moura,3770,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Barra 1,Avenida Jornalista Tim Lopes,3780,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Palace 1,Avenida Lúcio Costa,3790,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Residencial Palace 1,Avenida das Américas,3800,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Edifício Palace 1,Avenida Ayrton Senna,3810,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Palace 1,Avenida Embaixador Abelardo Bueno,3820,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Mansão Palace 1,Rua Mário Covas Júnior,3830,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Palace 1,Avenida Heitor Doyle Maia,3840,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Palace 1,Rua Paulo Moura,3850,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Palace 1,Avenida Jornalista Tim Lopes,3860,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Palace 1,Avenida Lúcio Costa,3870,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Oasis Palace 1,Avenida das Américas,3880,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Templo Palace 1,Avenida Ayrton Senna,3890,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Palace 1,Avenida Embaixador Abelardo Bueno,3900,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Régis Palace 1,Rua Mário Covas Júnior,3910,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Palace 1,Avenida Heitor Doyle Maia,3920,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Palace 1,Rua Paulo Moura,3930,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Prime 1,Avenida Jornalista Tim Lopes,3940,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Prime 1,Avenida Lúcio Costa,3950,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Edifício Prime 1,Avenida das Américas,3960,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Condomínio Prime 1,Avenida Ayrton Senna,3970,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Prime 1,Avenida Embaixador Abelardo Bueno,3980,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Bloco Prime 1,Rua Mário Covas Júnior,3990,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Prime 1,Avenida Heitor Doyle Maia,4000,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Prime 1,Rua Paulo Moura,4010,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Prime 1,Avenida Jornalista Tim Lopes,4020,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Prime 1,Avenida Lúcio Costa,4030,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Templo Prime 1,Avenida das Américas,4040,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Imperial Prime 1,Avenida Ayrton Senna,4050,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Prime 1,Avenida Embaixador Abelardo Bueno,4060,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Premium Prime 1,Rua Mário Covas Júnior,4070,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Prime 1,Avenida Heitor Doyle Maia,4080,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Luxury 1,Rua Paulo Moura,4090,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Luxury 1,Avenida Jornalista Tim Lopes,4100,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Luxury 1,Avenida Lúcio Costa,4110,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Condomínio Luxury 1,Avenida das Américas,4120,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Mansão Luxury 1,Avenida Ayrton Senna,4130,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Luxury 1,Avenida Embaixador Abelardo Bueno,4140,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Conjunto Luxury 1,Rua Mário Covas Júnior,4150,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Luxury 1,Avenida Heitor Doyle Maia,4160,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Luxury 1,Rua Paulo Moura,4170,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Luxury 1,Avenida Jornalista Tim Lopes,4180,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Luxury 1,Avenida Lúcio Costa,4190,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Imperial Luxury 1,Avenida das Américas,4200,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Régis Luxury 1,Avenida Ayrton Senna,4210,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Luxury 1,Avenida Embaixador Abelardo Bueno,4220,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Platinum Luxury 1,Rua Mário Covas Júnior,4230,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Gold 1,Avenida Heitor Doyle Maia,4240,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Gold 1,Rua Paulo Moura,4250,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Gold 1,Avenida Jornalista Tim Lopes,4260,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Gold 1,Avenida Lúcio Costa,4270,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Mansão Gold 1,Avenida das Américas,4280,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Bloco Gold 1,Avenida Ayrton Senna,4290,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Gold 1,Avenida Embaixador Abelardo Bueno,4300,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Vila Gold 1,Rua Mário Covas Júnior,4310,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Gold 1,Avenida Heitor Doyle Maia,4320,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Gold 1,Rua Paulo Moura,4330,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Gold 1,Avenida Jornalista Tim Lopes,4340,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Gold 1,Avenida Lúcio Costa,4350,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Régis Gold 1,Avenida das Américas,4360,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Premium Gold 1,Avenida Ayrton Senna,4370,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Gold 1,Avenida Embaixador Abelardo Bueno,4380,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Torre Premium 1,Rua Mário Covas Júnior,4390,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Premium 1,Avenida Heitor Doyle Maia,4400,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Premium 1,Rua Paulo Moura,4410,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Premium 1,Avenida Jornalista Tim Lopes,4420,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Premium 1,Avenida Lúcio Costa,4430,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Bloco Premium 1,Avenida das Américas,4440,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Conjunto Premium 1,Avenida Ayrton Senna,4450,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Premium 1,Avenida Embaixador Abelardo Bueno,4460,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Parque Premium 1,Rua Mário Covas Júnior,4470,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Premium 1,Avenida Heitor Doyle Maia,4480,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Premium 1,Rua Paulo Moura,4490,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Premium 1,Avenida Jornalista Tim Lopes,4500,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Premium 1,Avenida Lúcio Costa,4510,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Premium Premium 1,Avenida das Américas,4520,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Platinum Premium 1,Avenida Ayrton Senna,4530,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Plus 1,Avenida Embaixador Abelardo Bueno,4540,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Residencial Plus 1,Rua Mário Covas Júnior,4550,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Plus 1,Avenida Heitor Doyle Maia,4560,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Plus 1,Rua Paulo Moura,4570,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Plus 1,Avenida Jornalista Tim Lopes,4580,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Plus 1,Avenida Lúcio Costa,4590,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Conjunto Plus 1,Avenida das Américas,4600,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Vila Plus 1,Avenida Ayrton Senna,4610,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Plus 1,Avenida Embaixador Abelardo Bueno,4620,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Oasis Plus 1,Rua Mário Covas Júnior,4630,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Plus 1,Avenida Heitor Doyle Maia,4640,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Plus 1,Rua Paulo Moura,4650,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Plus 1,Avenida Jornalista Tim Lopes,4660,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Plus 1,Avenida Lúcio Costa,4670,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Platinum Plus 1,Avenida das Américas,4680,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Torre Elite 1,Avenida Ayrton Senna,4690,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Elite 1,Avenida Embaixador Abelardo Bueno,4700,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Edifício Elite 1,Rua Mário Covas Júnior,4710,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Elite 1,Avenida Heitor Doyle Maia,4720,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Elite 1,Rua Paulo Moura,4730,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Elite 1,Avenida Jornalista Tim Lopes,4740,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Elite 1,Avenida Lúcio Costa,4750,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Vila Elite 1,Avenida das Américas,4760,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Parque Elite 1,Avenida Ayrton Senna,4770,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Elite 1,Avenida Embaixador Abelardo Bueno,4780,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Templo Elite 1,Rua Mário Covas Júnior,4790,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Elite 1,Avenida Heitor Doyle Maia,4800,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Elite 1,Rua Paulo Moura,4810,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Elite 1,Avenida Jornalista Tim Lopes,4820,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Elite 1,Avenida Lúcio Costa,4830,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Torre Prestige 1,Avenida das Américas,4840,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Residencial Prestige 1,Avenida Ayrton Senna,4850,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Prestige 1,Avenida Embaixador Abelardo Bueno,4860,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Condomínio Prestige 1,Rua Mário Covas Júnior,4870,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Prestige 1,Avenida Heitor Doyle Maia,4880,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Prestige 1,Rua Paulo Moura,4890,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Prestige 1,Avenida Jornalista Tim Lopes,4900,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Prestige 1,Avenida Lúcio Costa,4910,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Parque Prestige 1,Avenida das Américas,4920,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Oasis Prestige 1,Avenida Ayrton Senna,4930,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Prestige 1,Avenida Embaixador Abelardo Bueno,4940,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Imperial Prestige 1,Rua Mário Covas Júnior,4950,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Prestige 1,Avenida Heitor Doyle Maia,4960,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Prestige 1,Rua Paulo Moura,4970,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Prestige 1,Avenida Jornalista Tim Lopes,4980,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Deluxe 1,Avenida Lúcio Costa,4990,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Residencial Deluxe 1,Avenida das Américas,5000,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Edifício Deluxe 1,Avenida Ayrton Senna,5010,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Deluxe 1,Avenida Embaixador Abelardo Bueno,5020,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Mansão Deluxe 1,Rua Mário Covas Júnior,5030,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Deluxe 1,Avenida Heitor Doyle Maia,5040,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Deluxe 1,Rua Paulo Moura,5050,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Deluxe 1,Avenida Jornalista Tim Lopes,5060,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Deluxe 1,Avenida Lúcio Costa,5070,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Oasis Deluxe 1,Avenida das Américas,5080,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Templo Deluxe 1,Avenida Ayrton Senna,5090,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Deluxe 1,Avenida Embaixador Abelardo Bueno,5100,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Régis Deluxe 1,Rua Mário Covas Júnior,5110,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Deluxe 1,Avenida Heitor Doyle Maia,5120,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Deluxe 1,Rua Paulo Moura,5130,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Royal 1,Avenida Jornalista Tim Lopes,5140,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Royal 1,Avenida Lúcio Costa,5150,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Edifício Royal 1,Avenida das Américas,5160,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Condomínio Royal 1,Avenida Ayrton Senna,5170,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Royal 1,Avenida Embaixador Abelardo Bueno,5180,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Bloco Royal 1,Rua Mário Covas Júnior,5190,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Royal 1,Avenida Heitor Doyle Maia,5200,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Royal 1,Rua Paulo Moura,5210,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Royal 1,Avenida Jornalista Tim Lopes,5220,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Royal 1,Avenida Lúcio Costa,5230,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Templo Royal 1,Avenida das Américas,5240,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Imperial Royal 1,Avenida Ayrton Senna,5250,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Royal 1,Avenida Embaixador Abelardo Bueno,5260,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Premium Royal 1,Rua Mário Covas Júnior,5270,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Royal 1,Avenida Heitor Doyle Maia,5280,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Select 1,Rua Paulo Moura,5290,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Select 1,Avenida Jornalista Tim Lopes,5300,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Select 1,Avenida Lúcio Costa,5310,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Condomínio Select 1,Avenida das Américas,5320,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Mansão Select 1,Avenida Ayrton Senna,5330,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Select 1,Avenida Embaixador Abelardo Bueno,5340,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Conjunto Select 1,Rua Mário Covas Júnior,5350,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Select 1,Avenida Heitor Doyle Maia,5360,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Select 1,Rua Paulo Moura,5370,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Select 1,Avenida Jornalista Tim Lopes,5380,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Select 1,Avenida Lúcio Costa,5390,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Imperial Select 1,Avenida das Américas,5400,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Régis Select 1,Avenida Ayrton Senna,5410,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Select 1,Avenida Embaixador Abelardo Bueno,5420,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Platinum Select 1,Rua Mário Covas Júnior,5430,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Classic 1,Avenida Heitor Doyle Maia,5440,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Classic 1,Rua Paulo Moura,5450,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Classic 1,Avenida Jornalista Tim Lopes,5460,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Classic 1,Avenida Lúcio Costa,5470,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Mansão Classic 1,Avenida das Américas,5480,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Bloco Classic 1,Avenida Ayrton Senna,5490,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Classic 1,Avenida Embaixador Abelardo Bueno,5500,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Vila Classic 1,Rua Mário Covas Júnior,5510,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Classic 1,Avenida Heitor Doyle Maia,5520,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Classic 1,Rua Paulo Moura,5530,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Classic 1,Avenida Jornalista Tim Lopes,5540,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Classic 1,Avenida Lúcio Costa,5550,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Régis Classic 1,Avenida das Américas,5560,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Premium Classic 1,Avenida Ayrton Senna,5570,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Classic 1,Avenida Embaixador Abelardo Bueno,5580,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Torre Dream 1,Rua Mário Covas Júnior,5590,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Dream 1,Avenida Heitor Doyle Maia,5600,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Dream 1,Rua Paulo Moura,5610,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Dream 1,Avenida Jornalista Tim Lopes,5620,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Dream 1,Avenida Lúcio Costa,5630,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Bloco Dream 1,Avenida das Américas,5640,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Conjunto Dream 1,Avenida Ayrton Senna,5650,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Dream 1,Avenida Embaixador Abelardo Bueno,5660,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Parque Dream 1,Rua Mário Covas Júnior,5670,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Dream 1,Avenida Heitor Doyle Maia,5680,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Dream 1,Rua Paulo Moura,5690,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Dream 1,Avenida Jornalista Tim Lopes,5700,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Dream 1,Avenida Lúcio Costa,5710,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Premium Dream 1,Avenida das Américas,5720,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Platinum Dream 1,Avenida Ayrton Senna,5730,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
